meter,start_time,end_time,energy_consumption,mean_power,min_power,max_power,stddev_power,median_power
A,2019-01-03T05:52:33.000Z,2019-01-03T05:06:29.000Z,-5774987.0,7487141.523068371,457200.0,2.439E7,4878673.579940535,7617600.0
C,2019-01-05T18:50:00.000Z,2019-01-05T18:37:11.000Z,1182.0,-5909.282934963869,-14400.0,0.0,2307.2518635969896,-7200.0
A,2019-01-01T03:56:37.000Z,2019-01-01T03:08:08.000Z,-585552.0,814640.2889691581,468000.0,2530800.0,748821.5151825977,471600.0
B,2019-01-03T14:45:06.000Z,2019-01-03T14:13:18.000Z,-6944210.0,1.1528896471242012E7,3999600.0,2.2518E7,3039839.7330904244,1.18044E7
A,2019-01-03T14:02:41.000Z,2019-01-03T14:30:19.000Z,4837367.0,1.1097482634065019E7,3200400.0,2.12292E7,2571036.4492463246,1.12464E7
A,2019-01-05T12:40:41.000Z,2019-01-05T12:42:22.000Z,36428.0,1312363.5454292858,1270800.0,1.03932E7,284706.36175326223,1292400.0
B,2019-01-03T22:55:34.000Z,2019-01-03T22:59:19.000Z,64908.0,1447560.1000277854,1000800.0,1.08432E7,825743.1155389813,1036800.0
C,2019-01-03T20:31:04.000Z,2019-01-03T20:41:02.000Z,20234.0,75559.9888858016,-10800.0,9576000.0,574663.0864844817,-7200.0
C,2019-01-04T19:04:04.000Z,2019-01-04T19:06:30.000Z,-259.0,-6242.734092803556,-7200.0,-3600.0,1590.7552801918523,-7200.0
A,2019-01-05T17:58:58.000Z,2019-01-05T17:54:26.000Z,-35174.0,530419.3387051959,457200.0,9709200.0,534894.3539807824,468000.0
B,2019-01-01T10:56:14.000Z,2019-01-01T10:30:16.000Z,-5903358.0,1.3962571492081134E7,6976800.0,1.75248E7,2812674.7115740473,1.50804E7
B,2019-01-03T23:25:08.000Z,2019-01-03T23:02:35.000Z,-392590.0,1048767.324256738,1026000.0,1101600.0,7910.5054889539415,1047600.0
C,2019-01-02T21:12:00.000Z,2019-01-02T21:17:32.000Z,-545.0,6802.77932184547,-7200.0,9601200.0,217272.2431876054,-7200.0
C,2019-01-04T08:11:45.000Z,2019-01-04T08:33:12.000Z,4457303.0,1.1617786162823007E7,626400.0,2.349E7,4009269.998831804,1.38528E7
B,2019-01-03T11:13:49.000Z,2019-01-03T11:46:38.000Z,5759746.0,1.310627889908257E7,1555200.0,3.0816E7,4068702.4312271,1.47132E7
A,2019-01-01T06:04:29.000Z,2019-01-01T06:32:00.000Z,5617945.0,1.2311775875486381E7,5479200.0,2.64816E7,2994742.6513284654,1.2672E7
B,2019-01-01T17:15:16.000Z,2019-01-01T17:23:05.000Z,1896116.0,1.1119347415230684E7,3196800.0,1.64556E7,2915948.4778516567,1.09404E7
C,2019-01-01T12:01:39.000Z,2019-01-01T12:31:47.000Z,5449267.0,1.018218777098388E7,5101200.0,2.19924E7,2492312.527394351,1.11744E7
